Numero,Pregunta,A,B,C,D
1,Hablar de fecundación in vitro se refiere a:,a) fecundar el óvulo de una hembra con un espermatozoide de un macho de otra especie,b) fecundar al óvulo sin utilizar espermatozoides,c) fecundar al óvulo mediante tubos de vidrio,d) fecundar al óvulo fuera de la madre y luego implantárselo
2, Los investigadores biónicos; utilizan la zoo-tecnología para descubrir en los animales patrones y sistemas que luego aplican en el diseño de aparatos. Tal es el caso de:,a) el avión y el motor de turbina,b) el cemento portland y el concreto,c) la oruga y el trascabo,d) el nylon y el plástico impermeable
3,En las bebidas y alimentos dietéticos aparece una leyenda que señala que no deben ser consumidos por mujeres embarazadas y fenilcetonúricos debido a que contienen fenilalanina; y este compuesto,a) no puede ser metabolizado e induce el almacenamiento de grasa y el aumento de peso,b) excita el sistema nervioso y produce insomnio,c) no puede ser metabolizado por algunos organismos y se almacena en los tejidos ocasionando trastornos que pueden llegar al retraso mental,d) al ser bajo en calorías no suministra la energía necesaria para el desarrollo normal
4,¿Cuál de las siguientes afirmaciones puede ser probada mediante un experimento controlado?,a) El mes lunar tiene 28 días,b) La probabilidad de desarrollar cáncer en la piel aumenta con la exposición a radiaciones ultravioleta,c) Los hongos pertenecen al reino Funji,d) Las aves tienen escamas
5,Escoja la opción que no completa correctamente el siguiente enunciado: Las anfetaminas utilizadas médicamente para controlar la obesidad…,a) pueden utilizarse todo el tiempo hasta bajar al peso deseado,b) pueden ser utilizadas por cualquier persona,c) sólo se recomiendan para personas hiperactivas,d) sólo pueden ser usadas por mujeres jóvenes
6,Para estudiar el comportamiento de cualquier ser vivo en su ambiente natural la biología se relaciona directamente con disciplinas como.,a) física; química y estadística,b) física; astronomía y economía,c) anatomía; fisiología y micología ,d) histología; embriología y etología
7,Relación entre organismos en la que un ser vive a expensas de otro; causándole daño.,a)comensalismo,b) saprofitismo,c) inquilinismo,d) parasitismo
8,¿Cuál es la molécula con núcleo de magnesio; indispensable para que se lleve acabo el proceso de la fotosíntesis?,a) hemoglobina,b) hemocianina,c) caroteno,d) clorofila
9,Las siguientes son partes del oído excepto.,a)  el estribo,b)  el estrógeno,c) la retina,d)  la cóclea
10,Las características sexuales secundarias femeninas son reguladas por hormonas como:,a) la insulina,b) el estrógeno,c) la adrenalina,d) la progesterona
